,Mobility + Flexibility + Warmup Resource Vault,,,,"
- These are links and examples handpicked by our coaching staff.
 Demonstrations have been tested by oursleves and our current athletes.

- If you have any recommendations or don't see a solution to a problem you're struggling with, 
DM us personally and we can resolve it that way.",
,,,                                         All things SQUAT   ,,,
,Mobilization,"Pulsing Hip Flexor Stretch: 2x20 Sec Each Leg 
General hip flexor with a dynamic pulse to losen hips: https://www.youtube.com/shorts/uE22oB4l9ho","Hip 90/90's: 2x20-30 Sec Each leg, leaning forward with shoulders over waist. Great for opening up hips through interanl + External rotation: https://www.youtube.com/watch?v=t4Zz6-aG8Iw","T-Spine Foam Rolling: Thoracic soft tissue work can help alleviate upper back/shoulder stiffness for better bar postioning and overall brace breathing. Make sure on middle back, NOT lower/lumbar: https://www.youtube.com/watch?v=rt6H2ZjcOns&t=23s","Air Squat / Bar Sway Holds: 1x30 Sec in postion, Great for stressing one knee at a time in order to simulate uneven load + overall warms up the knees well, while challenging ankle mobility: https://www.youtube.com/shorts/qjAozUE4HEs","Extra Dynamic-Stretches to incorporate: Standing Toe Touches, Lying down Quad Stretch, Standing Calf Stretch, Butterfly Stretch, Trunk Twist, and Cross-Body Seated Glute Stretches"
,Activation,"Leg Swings (Front to Back + Side to Side): Bloodflow to hip flexor & glutes during front to back, and bloodflow to adductors & abductors during side to side. Also great as a dynamic hamstring stretch: www.youtube.com/shorts/k1Eh8x0OZhw","Open + Close Gates: Another half mobilize half activation, great for hip opening and adductor bloodflow. Gets the hips lose while simultaneously moving blood toward the adductors, one of the most important muscle groups for squatting: https://www.youtube.com/shorts/1cpY_x7yr8c","Banded Glute Bridge + Abduction: 3x10-12 Sec, Great for firing up the abductors & glutes within one movement, use medium-heavy resistance band around knees and push outward, while maitaining a glute bridge: https://www.youtube.com/shorts/VAyThZTtt8E","Banded Monster-Walk: 2x20 Steps goign Forward + Back. Great for abductor blood flow, keep knees in a 45 degree bent postiion while slowl moving forward, contracting abductors and hips to keep the band pulled apart: https://www.youtube.com/shorts/Ss43G67pjPc","Noteable Activation Warmups: Tibialis Raise + Calf Raise 1x30 Each, Seated Quad Extension 1x15 @RPE 1, Single-Leg Lying down Hamstring Curl 1x15 Each Leg, Single Leg Hip Thrusts,  5-10 Min Incline Treadmil Walk"
,,,,,,
,,,                                      All Things BENCH,,,
,Mobilization,"PVC Shoulder Dislocates: 1x10-12 Passovers. Great for opening up the chest and getting the shoulders loose through flexion, abduction, and external rotation: https://www.youtube.com/shorts/kXvhVDxMwwE","T-Spine Extension Foam Rolling: 40-60 Seconds in position. This T-Spine soft tissue work allows for thoracic extension supported by a foam roller, to promote a stronger arch during the bench press through mobilizing beforehand: https://www.youtube.com/shorts/t7IJ-ogwI5M",Overhead Lat Stretch: 2x10 Sec Each Arm. Helps losen the lats while challenging overhead mobility. Loose Lat muscles = better bar path + scapular movement during the benchpress: https://www.youtube.com/shorts/xUsETzmcYs4,"Simple Chest Stretch: 2x15 Sec each arm. Ol' Reliable, do add a dynamic pulse, as simple as it is we don't want it completely static. Grab a wall or doorway and pull away to open up, grab a higher region of the wall to stretch out pec minor.","Extra Dynamic Stretches to Incoorporate: Cross body in and out chest stretch,  Scapular wall slide, Cross Body shoulder stretch hold, Elbow on wall triceps stretch, Sleeper Stretch "
,Activation,"TRX ""W"" Raise: 2x10 Reps. W raise forces your to get bloodlow to rotator cuffs & rhomboids, along with other rear delt/upper back stablizer muscles. RELAX THE TRAPS, focus on rotators with Arms in a W Position: https://www.youtube.com/shorts/kLEHvFi0R2o ","TRX ""Y"" Raise: 1x12 Reps. Y Raises are great for warming up the lower traps, as well as the rear delts directly without much usage of rotators. The focus on these is to eliminate all bicep use, strictly getting bloodflow to upper back: https://www.youtube.com/shorts/1W88y0-0YX8","Banded External Rotations: 1x10-12 Each Arm. Great for resistance and direct warming up the rotator cuffs. Can ALSO be done with small weighted plates (2.5-5), or light DB's: https://www.youtube.com/shorts/PTi9pfttH64","Single-Arm Overhead Tricep Extensions W Plate: 1x12 Each Arm. Take a 5-10lb plate, place arm above and behind the head with elbow at a 90 degree angle, and quickly fire up using the tricep: https://www.youtube.com/shorts/iHCSIoAdGVE","Noteable Activation Warmups: Pec Deck 1x15 (Light, bloodflow focused), Single Arm Tricep Cable Pushdowns 1x12 Each Arm, Incline / Regular Push-Ups 1x20, DB Rear Delt Raises 1x12"
,,,,,,
,,,,                 All Things DEADLIFT,,
,Mobilization,"Adductor Rockback: (SUMO) 2x10 Each Leg. Great for opening up the adductors and groin, also a good pre-hab movement for injury prevention: https://www.youtube.com/shorts/4YQ9Qg3UWow","Hip 90/90 Rotations: (FOR BOTH) 1x10 Rotations, this could also be applied to squats aswell. Same as hip 90/90's, but you add a twist and dynamic aspect to it, less emphasis on shoulders reaching and more on the rotation itself: https://www.youtube.com/shorts/4Xhkf_RG5Gc","Elephant Walk Stretch: (CONVENTIONAL) Great warmup for your T-Spine to get comfortable in a Flexion position, as well as getting comfortable hinging. Great for hamstring mobilizing: https://www.youtube.com/shorts/bPO5FW54Qz8","Worlds Greatest Stretch: 1x8 Each Side. WGS is great for multiple things. The two most important benefits are T-Spine and Hip Mobilization. Take your time, and be intentional with squeezing glutes upon twist: https://www.youtube.com/watch?v=-CiWQ2IvY34 ","Extra Dynamic Stretches to Incoorporate: Leg Swings (Side to Side & Front to Back), Standing Toe Touches, T-Spine Foam Rolls (Extension), Dead hangs (Only if pressure and compression is severe)."
,Activation,"Single Leg Glute Bridge OR Banded Glute Bridge: (BOTH) 1x12 Each Leg OR 3x10 Sec Holds. Abduction warmups, especially for sumo pullers, are essential. Single leg are more glute focued, banded is more abductor focued: https://www.youtube.com/shorts/VAyThZTtt8E",Jaffe Extension: (SUMO) 1x8-12 Can be used as either an accesory OR a warmup. Goal is to simulate as movement specific warmup for hip wedging: https://www.youtube.com/shorts/crCVcWJw7JE ," Romanian Deadlift OR BB Goodmorning: (CONVENTIONAL) 1x10 Both are Great for enforcing a hinge postiion, and getting bloodflow to entire posterior chain, and getting the movement pattern reps in before the deadlifts themselves. Be VERY generous with the weight: https://www.youtube.com/watch?v=nWyx81AfTos","Hip Abduction + Adduction: (SUMO) 1x20 Each Machine. Grab the Abduction and Adduction machines for a set of 20 light reps @ 5-10 RIR, this will create tons of bloodflow to the hips and prepare them for sumo positioning: https://www.youtube.com/shorts/cN-yIpErXlw","Noteable Activation Warmups: All squat warmups listed above, Hip thrust machine 1x12-15, Banded Hip Flexor Raises 1x10 Each Leg (Band Around top of foot), Stiff Leg DL"
